"","state","Metal","Number Of Deposits"
"1","Alabama","Lead",8
"2","Alabama","Aluminum",439
"3","Alabama","Iron",1117
"4","Alabama","Silica",19
"5","Alabama","Tin",10
"6","Alabama","Titanium",8
"7","Alabama","Manganese",66
"8","Alabama","Arsenic",9
"9","Alabama","Copper",12
"10","Alabama","Zinc",31
"11","Alabama","Gold",263
"12","Alaska","Tungsten",382
"13","Alaska","Antimony",251
"14","Alaska","Uranium",200
"15","Alaska","Zinc",524
"16","Alaska","Molybdenum",263
"17","Alaska","Silver",815
"18","Alaska","Tin",222
"19","Alaska","Gold",6702
"20","Alaska","Lead",674
"21","Alaska","Copper",2195
"22","Arizona","Gold",3042
"23","Arizona","Lead",1392
"24","Arizona","Copper",2855
"25","Arizona","Silver",2642
"26","Arizona","Iron",199
"27","Arizona","Manganese",429
"28","Arizona","Zinc",490
"29","Arizona","Vanadium",203
"30","Arizona","Tungsten",387
"31","Arizona","Uranium",551
"32","Arkansas","Iron",67
"33","Arkansas","Copper",7
"34","Arkansas","Aluminum",116
"35","Arkansas","Mercury",55
"36","Arkansas","Niobium (Columbium)",8
"37","Arkansas","Lead",205
"38","Arkansas","Manganese",138
"39","Arkansas","Vanadium",7
"40","Arkansas","Silica",52
"41","Arkansas","Titanium",13
"42","Arkansas","Zinc",223
"43","California","Lead",646
"44","California","Gold",22862
"45","California","Iron",408
"46","California","Tungsten",1165
"47","California","Manganese",640
"48","California","Mercury",926
"49","California","Silver",1220
"50","California","Chromium",2085
"51","California","Uranium",329
"52","California","Copper",1854
"53","Colorado","Copper",826
"54","Colorado","Uranium",2089
"55","Colorado","Vanadium",485
"56","Colorado","Molybdenum",174
"57","Colorado","Silver",2144
"58","Colorado","Tungsten",416
"59","Colorado","Lead",1699
"60","Colorado","Zinc",814
"61","Colorado","Gold",5022
"62","Colorado","Manganese",241
"63","Connecticut","Beryllium",4
"64","Connecticut","Cobalt",2
"65","Connecticut","Gold",6
"66","Connecticut","Bismuth",4
"67","Connecticut","Tungsten",2
"68","Connecticut","Copper",19
"69","Connecticut","Nickel",4
"70","Connecticut","Silver",8
"71","Connecticut","Manganese",7
"72","Connecticut","Iron",41
"73","Connecticut","Lead",8
"74","Delaware","Pigment",1
"75","Delaware","Aluminum",1
"76","Delaware","Chromium",1
"77","Delaware","Iron",9
"78","Delaware","Magnesite",1
"79","Delaware","Titanium",2
"80","District of Columbia","Iron",2
"81","Florida","Silica",7
"82","Florida","Iron",12
"83","Florida","Aluminum",1
"84","Florida","REE",2
"85","Florida","Titanium-Heavy Minerals",14
"86","Florida","Zirconium",3
"87","Florida","Thorium",2
"88","Florida","Titanium",13
"89","Florida","Magnesite",3
"90","Florida","Metal",1
"91","Florida","Peat",1
"92","Georgia","Titanium",13
"93","Georgia","Copper",13
"94","Georgia","Zinc",4
"95","Georgia","Aluminum",207
"96","Georgia","Chromium",3
"97","Georgia","Lead",3
"98","Georgia","Manganese",96
"99","Georgia","Gold",475
"100","Georgia","Zirconium",6
"101","Georgia","Iron-Pyrite",18
"102","Georgia","Iron",328
"103","Hawaii","Metal",1
"104","Hawaii","Titanium",1
"105","Hawaii","Aluminum",4
"106","Idaho","Gold",3073
"107","Idaho","Uranium",121
"108","Idaho","Antimony",90
"109","Idaho","Copper",766
"110","Idaho","Thorium",176
"111","Idaho","Tungsten",135
"112","Idaho","Zinc",363
"113","Idaho","Lead",1120
"114","Idaho","Silver",1490
"115","Idaho","Iron",90
"116","Illinois","Silica",7
"117","Illinois","Copper",2
"118","Illinois","Aluminum",1
"119","Illinois","Cadmium",2
"120","Illinois","Lead",169
"121","Illinois","Gold",1
"122","Illinois","Iridium",1
"123","Illinois","Iron",5
"124","Illinois","Ruthenium",1
"125","Illinois","Tantalum",1
"126","Illinois","Thorium",1
"127","Illinois","Zinc",90
"128","Illinois","Silver",1
"129","Illinois","Magnesite",1
"130","Illinois","Palladium",1
"131","Illinois","Platinum",1
"132","Indiana","Tungsten",1
"133","Indiana","Antimony",1
"134","Indiana","Silica",5
"135","Indiana","Chromium",1
"136","Indiana","Aluminum",12
"137","Indiana","Lead",2
