"","latitude","longitude"
"1",55.05612,-132.14344
"2",55.52751,-132.68514
"3",55.97751,-132.99906
"4",55.14695,-132.48512
"5",55.22334,-132.63513
"6",55.29973,-132.70041
"7",55.51223,-132.53098
"8",55.53029,-132.31152
"9",55.58862,-132.47959
"10",55.55667,-132.4393
"11",55.48445,-132.52819
"12",55.21362,-132.60457
"13",55.21112,-132.06011
"14",55.19973,-132.56846
"15",55.57751,-132.64209
"16",55.56084,-132.42958
"17",55.52749,-133.63656
"18",55.05473,-132.1226
"19",55.14445,-132.0576
"20",55.60529,-132.49209
"21",55.26501,-132.24623
"22",55.08305,-132.63373
"23",55.08862,-132.49206
"24",55.61084,-132.61153
"25",55.2914,-132.39207
"26",55.2289,-132.6518
"27",55.3414,-132.37957
"28",55.62751,-132.38514
"29",55.53306,-132.37541
"30",55.00111,-132.76985
"31",55.1364,-132.19984
"32",55.65251,-132.41431
"33",55.23167,-132.61291
"34",55.14917,-132.18011
"35",55.1664,-132.13984
"36",55.52334,-132.32541
"37",55.16834,-132.14734
"38",55.1989,-132.04956
"39",55.35111,-132.83375
"40",55.51501,-132.30458
"41",55.64834,-132.39209
"42",55.21723,-132.31568
"43",55.26223,-132.62541
"44",55.4678,-132.15735
"45",55.23723,-132.60179
"46",55.29417,-132.6018
"47",55.43029,-132.65598
"48",55.22751,-132.59623
"49",55.62473,-132.58792
"50",55.62473,-132.58792
"51",55.51917,-132.3393
"52",55.23862,-132.53651
"53",55.58029,-132.47959
"54",55.06667,-132.14844
"55",55.26084,-132.63374
"56",55.64557,-132.37264
"57",55.53029,-132.36013
"58",55.64002,-132.37403
"59",55.5539,-132.39069
"60",55.28584,-132.56569
"61",55.51362,-132.29208
"62",55.63584,-132.57403
"63",55.61917,-132.54487
"64",55.05666,-133.07402
"65",55.57751,-132.46709
"66",55.25251,-132.62124
"67",55.26362,-132.64486
"68",55.25251,-132.62958
"69",55.05389,-133.07124
"70",55.07001,-132.15177
"71",55.45665,-133.81573
"72",55.46362,-132.81153
"73",55.42611,-133.25738
"74",55.3775,-132.87125
"75",55.40528,-133.30182
"76",55.37194,-132.80737
"77",55.26638,-133.63516
"78",55.30945,-132.69069
"79",55.31361,-132.78236
"80",55.25667,-132.62124
"81",55.51501,-132.73653
"82",56.06366,-130.25982
"83",56.06477,-130.2437
"84",56.07088,-130.2737
"85",56.07477,-130.28676
"86",56.05588,-130.26676
"87",56.05671,-130.27565
"88",56.04366,-130.2937
"89",56.02588,-130.37065
"90",56.03088,-130.3337
"91",56.06283,-130.27287
"92",56.04144,-130.40037
"93",56.04671,-130.39482
"94",56.03977,-130.40148
"95",56.01671,-130.4187
"96",56.30976,-131.61181
"97",56.46975,-131.98183
"98",56.46976,-131.27181
"99",56.32977,-130.77179
"100",60.87041,-147.19867
"101",56.07588,-130.06564
"102",56.05283,-130.04564
"103",56.01171,-130.33065
"104",56.04283,-130.06869
"105",56.04588,-130.03786
"106",56.05366,-130.06981
"107",56.03977,-130.04369
"108",56.03171,-130.03481
"109",56.01449,-130.05564
"110",60.87819,-147.18978
"111",56.0256,-130.04369
"112",56.02477,-130.06869
"113",56.02171,-130.05481
"114",56.01644,-130.06481
"115",56.02088,-130.04564
"116",56.0106,-130.03758
"117",56.04366,-130.21954
"118",56.01088,-130.02369
"119",56.02477,-130.21564
"120",56.03088,-130.2337
"121",56.05283,-130.2087
"122",56.06783,-130.21565
"123",56.07477,-130.20482
"124",56.07477,-130.17065
"125",56.08783,-130.07064
"126",56.06088,-130.14564
"127",56.07755,-130.1687
"128",54.71917,-132.11287
"129",54.7414,-132.1462
"130",54.86917,-132.28788
"131",54.99416,-132.75179
"132",54.89139,-132.95457
"133",54.83306,-132.31566
"134",54.94973,-132.02398
"135",54.77195,-132.06287
"136",56.06366,-130.1987
"137",56.22169,-131.74792
"138",56.25976,-131.60181
"139",59.29929,-160.17269
"140",59.65763,-159.82771
"141",56.03171,-130.04481
"142",56.02894,-130.03925
"143",56.02477,-130.3237
"144",60.43317,-147.65836
"145",56.38085,-132.90075
"146",56.37363,-132.9188
"147",56.79363,-133.36383
"148",56.88668,-133.37496
"149",60.87763,-147.44284
"150",56.56974,-133.06798
"151",60.27788,-147.83808
"152",56.08473,-133.39075
"153",60.30762,-147.7128
"154",60.41039,-147.65114
"155",60.26705,-147.84141
"156",60.34789,-147.63475
"157",60.01785,-149.25032
"158",60.30038,-147.77725
"159",60.42289,-147.71697
"160",60.0273,-149.12948
"161",60.48706,-147.65421
"162",60.26511,-147.73502
"163",60.24649,-147.7853
"164",60.19983,-147.74641
"165",60.23455,-147.77974
"166",60.22705,-147.76502
"167",60.01063,-149.25115
"168",60.89486,-147.09616
"169",60.33845,-147.73753
"170",60.8657,-146.57143
"171",60.85765,-146.54254
"172",60.89959,-146.60365
"173",60.76959,-146.41253
"174",60.66266,-145.55361
"175",60.56654,-145.72582
"176",60.80959,-146.54253
"177",60.99961,-146.26921
"178",60.10591,-149.26172
"179",60.84765,-146.53143
"180",60.84959,-146.55254
"181",60.96929,-147.6384
"182",60.88265,-146.6306
"183",60.88348,-146.64615
"184",60.51958,-146.41251
"185",60.25649,-147.70113
"186",60.36956,-147.69725
"187",60.32039,-147.66613
"188",60.31484,-147.73336
"189",60.24872,-148.1592
"190",60.01649,-147.84945
"191",60.21622,-147.81141
"192",60.34594,-147.77642
"193",60.86569,-147.17505
"194",60.27706,-147.68752
"195",61.84949,-152.89277
"196",59.94954,-148.13251
"197",59.89452,-149.28364
"198",59.98563,-149.26948
"199",59.90646,-149.29142
"200",59.93954,-148.0425
"201",59.87258,-149.28947
"202",59.96452,-149.28643
"203",59.98841,-149.2706
"204",59.96454,-147.99139
"205",59.97843,-148.01557
"206",59.88063,-149.28059
"207",60.04455,-147.88668
"208",59.22057,-151.64864
"209",60.16054,-154.05265
"210",67.29676,-157.18127
"211",67.18011,-156.38957
"212",57.77753,-133.44362
"213",67.07458,-155.02008
"214",60.04455,-147.88668
"215",60.8982,-146.70254
"216",55.51917,-132.28513
"217",55.25251,-132.62124
"218",57.97471,-136.42427
"219",63.21902,-149.64172
"220",62.20386,-142.84143
"221",61.52745,-142.84638
"222",61.78845,-149.33047
"223",61.37469,-141.55244
"224",63.34124,-150.45286
"225",63.27873,-150.8723
"226",63.54679,-150.85289
"227",63.20372,-151.11397
"228",63.20094,-151.16119
"229",63.28577,-145.61189
"230",63.56068,-150.74317
"231",63.58151,-150.71261
"232",63.20983,-151.09814
"233",63.19844,-151.11953
"234",63.95515,-150.37236
"235",63.27022,-145.58939
"236",63.62485,-150.60761
"237",63.73097,-150.39346
"238",63.23152,-149.62283
"239",63.25959,-149.54283
"240",63.19569,-149.65782
"241",63.25959,-149.47283
"242",63.13852,-147.14386
"243",63.21569,-149.64589
"244",63.00957,-149.99281
"245",63.21264,-149.64977
"246",63.06963,-147.27275
"247",63.17958,-149.67282
"248",63.21569,-149.64589
"249",63.68574,-147.66088
"250",63.06568,-149.96171
"251",63.18769,-147.40387
"252",63.09156,-147.39775
"253",61.03126,-146.56005
"254",63.69964,-147.42281
"255",63.09962,-147.7397
"256",63.10962,-147.7047
"257",63.50767,-148.79172
"258",63.06958,-149.86282
"259",63.16347,-149.78893
"260",63.17958,-149.69282
"261",63.4596,-149.14284
"262",62.86663,-143.52762
"263",62.8858,-143.65874
"264",62.48302,-143.06951
"265",62.33969,-142.73255
"266",62.19052,-142.9206
"267",61.77324,-145.18535
"268",62.15108,-142.92143
"269",62.12996,-142.93365
"270",62.15525,-142.8306
"271",62.19663,-142.82254
"272",62.1458,-142.82448
"273",62.11552,-142.82253
"274",62.11219,-142.83559
"275",62.03496,-142.84364
"276",62.18163,-142.76865
"277",62.17108,-142.62142
"278",62.11469,-142.66947
"279",62.07136,-142.57863
"280",62.42664,-142.31449
"281",62.41609,-142.30448
"282",62.1072,-141.93945
"283",62.08081,-141.91444
"284",62.05582,-141.25859
"285",62.11276,-141.81944
"286",62.11165,-141.6275
"287",62.20027,-141.46361
"288",62.1786,-141.42861
"289",62.15027,-141.3086
"290",62.08249,-141.25248
"291",62.53276,-142.89146
"292",62.04401,-141.21848
"293",62.05999,-141.18359
"294",62.08083,-141.12748
"295",62.07805,-141.06942
"296",62.03609,-141.94556
"297",62.19859,-142.44253
"298",61.0457,-146.58811
"299",61.01238,-146.27671
"300",61.00877,-146.1031
"301",61.45158,-144.3328
"302",61.40075,-144.25613
"303",61.36186,-144.28169
"304",61.35464,-144.2614
"305",61.30908,-144.26307
"306",61.65798,-144.12115
"307",61.65937,-144.1231
"308",61.66354,-144.12893
"309",61.64854,-144.10559
"310",61.64965,-144.10559
"311",61.65104,-144.10975
"312",61.64854,-144.10253
"313",61.64576,-144.10864
"314",61.63659,-144.04031
"315",61.63659,-144.03725
"316",61.67548,-144.06698
"317",61.66743,-144.05392
"318",61.67159,-144.07059
"319",61.67076,-144.06364
"320",61.67548,-144.06865
"321",61.66215,-144.03336
"322",61.66021,-144.02781
"323",61.66159,-144.03753
"324",61.66771,-144.01086
"325",63.28022,-145.56994
"326",63.33994,-145.78329
"327",62.71147,-151.82783
"328",62.30756,-152.63087
"329",62.93648,-151.2909
"330",62.53451,-152.41477
"331",62.72955,-150.84281
"332",62.47341,-152.09587
"333",62.73951,-152.72285
"334",62.90147,-152.15397
