"","latitude","longitude"
"1",55.60529,-132.49209
"2",55.51084,-132.42819
"3",55.53306,-132.37541
"4",55.56084,-132.43791
"5",54.77612,-132.01843
"6",63.33318,-150.48258
"7",62.15108,-142.92143
"8",62.83565,-151.48672
"9",62.78454,-151.51783
"10",62.06955,-150.04273
"11",62.82854,-145.50074
"12",67.41241,-152.87508
"13",58.29668,-134.83758
"14",59.7461,-153.39817
"15",55.21975,-131.15175
"16",54.94474,-131.59258
"17",54.94141,-131.60925
"18",54.94696,-131.39757
"19",54.92891,-131.38341
"20",54.94113,-131.3448
"21",54.9303,-131.33841
"22",54.92557,-131.3598
"23",54.91863,-131.35896
"24",54.90141,-131.37174
"25",54.87002,-131.27563
"26",56.79928,-159.10249
"27",56.09924,-160.50247
"28",65.68938,-162.49337
"29",59.85357,-155.33571
"30",64.77622,-165.8733
"31",64.78206,-165.75247
"32",64.76122,-165.73469
"33",64.72928,-165.82302
"34",64.71067,-165.75107
"35",59.34885,-154.01787
"36",59.24912,-154.46426
"37",59.24108,-154.2787
"38",59.51692,-153.87954
"39",59.67499,-153.7615
"40",59.69804,-153.57039
"41",59.41253,-135.90573
"42",59.04975,-135.45208
"43",58.67165,-137.28601
"44",58.5397,-137.45212
"45",58.47582,-137.08599
"46",58.50165,-137.07016
"47",58.35277,-136.89209
"48",58.4086,-136.9332
"49",58.91278,-136.65211
"50",58.90362,-136.51405
"51",58.43972,-136.61097
"52",59.71629,-157.67879
"53",57.17123,-158.4814
"54",57.98392,-133.78614
"55",59.43968,-139.58224
"56",59.37969,-139.43223
"57",64.09556,-143.24995
"58",59.30969,-139.14222
"59",65.03591,-141.10164
"60",67.09954,-157.00345
"61",55.49087,-162.48578
"62",61.68951,-151.50273
"63",61.20953,-150.17266
"64",61.0295,-151.30267
"65",60.12943,-154.15265
"66",56.38559,-131.39153
"67",56.36169,-132.29156
"68",56.83252,-133.04882
"69",56.13251,-133.43158
"70",41.99999,-71.46615
"71",44.19997,-73.49953
"72",40.60001,-75.13294
"73",41.13389,-106.09333
"74",39.76138,-105.49253
"75",32.73344,-108.48395
"76",33.61396,-112.84881
"77",59.41635,-139.66891
"78",39.24999,-106.24283
"79",32.78455,-108.30451
"80",32.2529,-109.03952
"81",37.65978,-90.50705
"82",37.62089,-90.39316
"83",37.63284,-91.55014
"84",37.95034,-91.26263
"85",37.27785,-90.06676
"86",37.3909,-90.13065
"87",37.09785,-90.68733
"88",37.21424,-90.63567
"89",37.98812,-91.32513
"90",37.82562,-91.42736
"91",37.82812,-91.42181
"92",37.85312,-91.42458
"93",37.97923,-91.21596
"94",37.81145,-91.39486
"95",37.80978,-91.34735
"96",37.80978,-91.33485
"97",37.94228,-91.37096
"98",37.95395,-91.38708
"99",37.76089,-91.59653
"100",37.62228,-91.65292
"101",37.64867,-91.54764
"102",37.59284,-91.60847
"103",37.77034,-91.55764
"104",37.632,-91.50125
"105",37.65812,-91.27346
"106",37.64173,-91.35513
"107",37.64812,-91.61264
"108",37.53951,-90.65094
"109",37.52868,-91.33569
"110",37.64117,-91.53653
"111",37.66256,-91.58625
"112",37.62312,-91.57597
"113",37.58423,-91.45014
"114",37.49813,-91.26319
"115",37.45563,-91.56042
"116",37.58617,-91.49403
"117",37.64923,-91.61208
"118",37.75562,-91.59125
"119",37.45424,-91.21874
"120",37.62534,-91.30791
"121",37.41813,-91.2693
"122",37.70589,-90.67178
"123",37.57646,-90.64705
"124",37.67923,-90.90123
"125",37.63589,-91.13624
"126",37.68617,-91.00956
"127",37.2959,-90.70511
"128",37.5234,-90.22843
"129",37.5209,-90.22566
"130",37.54896,-90.27288
"131",37.92756,-91.92626
"132",37.98673,-91.86793
"133",37.50118,-90.23788
"134",37.58784,-90.58261
"135",37.53063,-90.27121
"136",37.82173,-91.57208
"137",37.88006,-91.81459
"138",37.91145,-91.83459
"139",37.79395,-91.75432
"140",37.79673,-91.57458
"141",37.82923,-91.55986
"142",37.92812,-91.61125
"143",37.88423,-91.60542
"144",37.78923,-91.87154
"145",37.89006,-91.85626
"146",37.83923,-91.84793
