"","latitude","longitude"
"1",55.3289,-132.76013
"2",55.21279,-132.32318
"3",55.27751,-132.61569
"4",55.16223,-132.38234
"5",55.99555,-133.45186
"6",55.9136,-134.33244
"7",55.15862,-132.23734
"8",55.30806,-132.57958
"9",56.06366,-130.25982
"10",56.06477,-130.2437
"11",56.07088,-130.2737
"12",56.07477,-130.28676
"13",56.05588,-130.26676
"14",56.05283,-130.26982
"15",56.05671,-130.27565
"16",56.04366,-130.2937
"17",56.02588,-130.37065
"18",56.02588,-130.35565
"19",56.03088,-130.3337
"20",56.01866,-130.35176
"21",56.06283,-130.27287
"22",56.04144,-130.40037
"23",56.03977,-130.40148
"24",56.46975,-131.98183
"25",56.47975,-131.98183
"26",56.07588,-130.06564
"27",56.05283,-130.04564
"28",56.01171,-130.33065
"29",56.04283,-130.06869
"30",56.04588,-130.03786
"31",56.05366,-130.06981
"32",56.03977,-130.04369
"33",56.03171,-130.03481
"34",56.03477,-130.03064
"35",56.01449,-130.05564
"36",56.0256,-130.04369
"37",56.02477,-130.06869
"38",56.02171,-130.05481
"39",56.01644,-130.06481
"40",56.01644,-130.06869
"41",56.02088,-130.04564
"42",56.04366,-130.21954
"43",56.01088,-130.02369
"44",56.02477,-130.21564
"45",56.02171,-130.21175
"46",56.03088,-130.2337
"47",56.04671,-130.2237
"48",56.05283,-130.2087
"49",56.07477,-130.20482
"50",56.07477,-130.17065
"51",56.08783,-130.07064
"52",56.06088,-130.14564
"53",56.05366,-130.17258
"54",56.05088,-130.17981
"55",56.06866,-130.17287
"56",56.07588,-130.18287
"57",56.07755,-130.1687
"58",56.06366,-130.1987
"59",56.03171,-130.04481
"60",56.02894,-130.03925
"61",56.01477,-130.26565
"62",56.02477,-130.3237
"63",56.38085,-132.90075
"64",56.67168,-133.25994
"65",56.37363,-132.9188
"66",56.79363,-133.36383
"67",56.10972,-133.95882
"68",56.56974,-133.06798
"69",56.47975,-132.03878
"70",60.99036,-149.50206
"71",60.80959,-146.54253
"72",60.96817,-148.35176
"73",59.88063,-149.28059
"74",58.06641,-134.61867
"75",67.29676,-157.18127
"76",67.18011,-156.38957
"77",67.07458,-155.02008
"78",61.52745,-142.84638
"79",63.2815,-150.83897
"80",63.28577,-145.61189
"81",63.39401,-150.32647
"82",63.58151,-150.71261
"83",63.61151,-150.64511
"84",63.27022,-145.58939
"85",63.55235,-150.8765
"86",63.57013,-150.89928
"87",63.9607,-150.34014
"88",63.519,-150.98817
"89",63.55374,-150.78622
"90",63.21569,-149.64589
"91",63.85658,-147.48477
"92",63.85964,-147.61283
"93",63.17958,-149.67282
"94",63.22152,-149.57282
"95",63.68959,-149.74287
"96",62.62302,-143.45149
"97",62.61413,-143.2337
"98",62.18163,-142.76865
"99",62.11469,-142.66947
"100",62.07136,-142.57863
"101",62.08192,-141.86944
"102",62.11276,-141.81944
"103",62.08083,-141.12748
"104",63.28022,-145.56994
"105",62.72955,-150.84281
"106",62.93263,-150.09975
"107",62.90147,-152.15397
"108",62.88563,-152.22897
"109",61.7915,-149.29658
"110",61.7965,-149.28852
"111",65.37514,-152.81286
"112",61.82456,-149.24352
"113",61.01956,-148.20259
"114",61.41955,-149.39266
"115",61.12955,-149.09262
"116",61.04454,-149.11762
"117",61.06956,-148.1626
"118",63.34799,-145.69967
"119",61.06956,-148.11259
"120",61.04956,-148.06259
"121",63.32966,-145.72773
"122",61.01954,-149.13262
"123",63.31633,-145.67467
"124",63.28716,-145.63078
"125",61.37357,-142.46135
"126",61.64466,-143.87947
"127",61.9595,-152.30277
"128",62.85662,-144.30264
"129",62.81968,-144.22264
"130",62.81968,-144.10263
"131",67.85437,-152.59874
"132",62.75079,-144.03374
"133",62.75968,-144.04263
"134",67.45952,-158.13354
"135",67.24952,-158.18351
"136",67.06343,-157.0204
"137",67.12845,-155.95316
"138",67.00953,-157.01345
"139",67.29148,-157.17043
"140",67.83493,-152.58374
"141",67.19955,-156.50347
"142",67.18066,-156.38957
"143",67.38956,-156.44349
"144",67.39956,-156.49349
"145",67.40955,-156.6535
"146",67.41956,-156.28349
"147",67.20762,-155.95845
"148",67.83956,-156.81357
"149",67.06958,-155.04341
"150",67.10846,-155.40537
"151",67.42961,-154.02344
"152",67.47571,-154.68152
"153",67.54959,-155.01348
"154",67.50959,-155.08348
"155",67.83738,-155.26631
"156",67.5305,-151.59089
"157",67.29188,-151.32418
"158",67.5744,-150.7967
"159",67.51799,-151.96173
"160",67.35546,-152.97007
"161",67.49967,-151.50338
"162",67.18547,-152.43003
"163",67.3163,-152.92006
"164",67.5916,-151.8984
"165",67.3291,-151.30835
"166",67.39797,-152.67173
"167",58.25947,-134.25533
"168",58.47975,-134.49369
"169",58.19835,-134.83395
"170",58.75946,-135.25484
"171",58.29863,-135.06259
"172",67.87974,-148.68335
"173",67.3797,-149.91332
"174",67.85971,-149.95339
"175",67.65971,-149.50334
"176",62.37764,-148.98579
"177",54.80167,-131.9737
"178",62.72151,-149.54167
"179",62.86847,-149.36084
"180",61.33576,-143.84556
"181",55.99671,-130.06564
"182",55.99477,-130.05869
"183",55.99616,-130.05092
"184",55.99671,-130.04869
"185",55.99505,-130.04814
"186",55.99477,-130.06786
"187",55.98921,-130.05342
"188",55.98588,-130.05453
"189",55.98866,-130.04758
"190",55.98727,-130.05036
"191",55.98366,-130.04786
"192",55.83087,-130.91066
"193",55.4278,-131.50983
"194",55.36474,-131.47566
"195",55.40864,-131.19676
"196",55.29586,-131.34482
"197",55.38864,-131.18482
"198",55.20085,-131.58787
"199",55.17668,-131.60676
"200",55.15085,-131.36675
"201",55.14168,-131.36481
"202",55.13863,-131.39564
"203",55.1278,-131.37564
"204",55.10585,-131.40481
"205",55.11085,-131.39869
"206",63.50753,-155.63493
"207",56.52623,-158.57553
"208",56.24122,-158.70356
"209",56.23039,-158.51356
"210",56.15956,-158.40633
"211",64.58972,-144.44281
"212",64.88415,-145.62955
"213",68.04976,-147.81335
"214",68.03976,-147.82335
"215",68.02976,-147.87335
"216",68.29977,-147.53337
"217",68.30977,-147.58338
"218",58.04559,-133.44918
"219",63.61975,-141.48262
"220",63.52975,-141.0726
"221",63.42975,-141.11259
"222",68.36988,-142.15319
"223",68.37988,-142.04013
"224",68.74986,-143.83331
"225",67.83974,-148.49334
"226",64.94431,-164.62942
"227",64.97625,-164.6472
"228",65.67132,-162.46726
"229",65.92047,-163.32148
"230",65.89936,-163.30341
"231",65.80934,-164.49342
"232",65.01936,-162.56329
"233",65.02936,-162.56329
"234",65.03936,-162.53329
"235",65.13936,-162.5933
"236",65.02936,-162.57329
"237",65.1985,-163.87972
"238",65.19822,-163.87305
"239",65.17933,-163.87333
"240",65.20072,-163.87972
"241",65.18933,-163.84333
"242",65.22128,-163.77027
"243",65.20739,-163.82027
"244",64.72928,-165.82302
"245",64.87957,-165.21637
"246",64.76151,-165.39219
"247",39.85806,-113.4273
"248",64.63067,-165.44606
"249",64.57289,-165.4241
"250",64.69206,-165.65246
"251",64.61428,-165.42106
"252",39.85806,-113.4273
"253",59.68609,-153.9265
"254",60.17943,-153.83265
"255",60.70554,-154.59577
"256",60.07943,-153.91264
"257",61.4639,-153.70748
"258",61.73337,-153.20055
"259",61.66004,-153.04526
"260",61.53864,-153.16053
