"","latitude","longitude"
"1",55.50529,-132.63237
"2",55.08583,-133.17125
"3",55.14084,-132.05038
"4",55.51779,-132.7907
"5",55.6178,-132.04346
"6",55.16917,-132.38651
"7",55.1364,-132.19984
"8",55.03028,-133.08236
"9",55.51223,-132.80875
"10",55.49139,-132.99349
"11",55.25251,-132.62124
"12",55.48584,-132.72959
"13",56.06366,-130.25982
"14",56.06477,-130.2437
"15",56.07477,-130.28676
"16",56.07588,-130.25982
"17",56.05588,-130.26676
"18",56.05283,-130.26982
"19",56.04366,-130.2937
"20",56.02588,-130.37065
"21",56.02588,-130.35565
"22",56.03088,-130.3337
"23",56.01866,-130.35176
"24",56.06283,-130.27287
"25",56.04144,-130.40037
"26",56.32977,-130.78179
"27",56.03977,-130.40148
"28",56.01671,-130.4187
"29",56.30976,-131.61181
"30",56.46975,-131.98183
"31",56.47975,-131.98183
"32",56.07588,-130.06564
"33",56.05283,-130.04564
"34",56.01171,-130.33065
"35",56.05366,-130.06981
"36",56.03477,-130.03064
"37",56.0256,-130.04369
"38",56.02477,-130.06869
"39",56.01644,-130.06869
"40",60.65203,-149.55871
"41",56.02088,-130.04564
"42",56.04366,-130.21954
"43",56.01088,-130.02369
"44",56.02171,-130.21175
"45",56.03088,-130.2337
"46",56.04671,-130.2237
"47",56.06783,-130.21565
"48",56.07477,-130.17065
"49",56.07588,-130.18287
"50",54.93305,-132.96012
"51",56.06366,-130.1987
"52",56.03171,-130.04481
"53",56.02894,-130.03925
"54",56.01477,-130.26565
"55",56.02477,-130.3237
"56",56.67168,-133.25994
"57",56.79363,-133.36383
"58",56.10972,-133.95882
"59",56.83974,-133.26189
"60",60.62981,-149.56453
"61",60.6596,-145.6725
"62",60.60953,-149.57315
"63",60.88292,-146.61921
"64",60.61509,-149.57926
"65",59.51143,-150.49642
"66",59.51949,-150.49253
"67",59.57338,-150.51059
"68",59.55254,-150.6806
"69",59.88063,-149.28059
"70",60.82814,-149.53567
"71",59.25946,-151.56253
"72",58.06641,-134.61867
"73",63.23837,-154.77684
"74",67.29676,-157.18127
"75",67.07458,-155.02008
"76",55.25251,-132.62124
"77",57.6636,-136.10202
"78",63.21902,-149.64172
"79",61.52745,-142.84638
"80",65.90939,-161.92339
"81",62.80945,-155.91293
"82",62.45217,-158.00849
"83",61.37469,-141.55244
"84",64.52511,-165.39049
"85",63.52456,-151.01956
"86",63.56068,-150.789
"87",63.55235,-150.90011
"88",63.50262,-151.0215
"89",63.56846,-150.90122
"90",63.5604,-150.914
"91",63.53706,-150.95983
"92",63.53567,-150.96122
"93",63.54679,-150.94317
"94",63.5454,-150.92928
"95",63.54401,-150.92789
