"","time","latitude","longitude","depth","mag","magType","gap","dmin","rms","id","updated","place","type","horizontalError","depthError","magError","locationSource","magSource"
"1","2021-12-30T19:19:29.687Z",-28.7732,-176.3468,10,5.1,"mb",40,1.461,1.06,"us7000g81c","2022-03-05T23:10:57.040Z","Kermadec Islands region","earthquake",5.4,1.8,0.064,"us","us"
"2","2021-12-30T13:13:17.562Z",-0.0798,125.2498,42,5.5,"mww",42,2.279,1.05,"us7000g7yh","2022-03-05T23:10:56.040Z","157 km SSE of Tondano, Indonesia","earthquake",7.1,1.9,0.069,"us","us"
"3","2021-12-30T06:47:08.885Z",23.9867,122.4994,20.94,5.3,"mww",59,0.668,0.63,"us7000g7wt","2022-03-05T23:10:55.040Z","73 km SW of Yonakuni, Japan","earthquake",2.9,4.5,0.098,"us","us"
"4","2021-12-30T04:58:15.906Z",-55.8888,-28.0832,41,5.7,"mww",36,5.089,0.9,"us7000g7w5","2022-03-05T23:10:55.040Z","South Sandwich Islands region","earthquake",9.6,1.9,0.08,"us","us"
"5","2021-12-30T00:19:54.707Z",-21.6778,-179.3371,586.42,5.1,"mb",31,4.62,0.7,"us7000g7un","2022-03-05T23:10:54.040Z","Fiji region","earthquake",8,5.1,0.047,"us","us"
"6","2021-12-29T18:25:51.962Z",-7.5482,127.5773,165.49,7.3,"mww",19,3.713,1.06,"us7000g7lx","2022-03-05T23:10:53.040Z","125 km NNE of Lospalos, Timor Leste","earthquake",6.3,3.3,0.052,"us","us"
"7","2021-12-29T05:08:09.950Z",34.8334,25.1386,64.53,5.7,"mww",36,0.497,0.79,"us6000gg0y","2022-03-05T23:10:50.040Z","19 km S of P��rgos, Gr","earthquake",5.7,3.2,0.036,"us","us"
"8","2021-12-29T03:57:32.869Z",54.622,170.6514,10,5.6,"mww",21,2.792,1.05,"us6000gg09","2022-03-05T23:10:50.040Z","258 km NW of Attu Station, Alaska","earthquake",6.6,1.7,0.039,"us","us"
"9","2021-12-28T19:53:17.286Z",-13.2352,167.8596,10,5.1,"mb",55,2.289,0.68,"us6000gfwv","2022-03-05T23:10:49.040Z","78 km NNE of Sola, Vanuatu","earthquake",8.4,1.8,0.053,"us","us"
"10","2021-12-27T13:31:04.395Z",35.5592,74.8205,10,5.2,"mww",43,2.294,0.62,"us6000gflv","2022-03-05T23:10:45.040Z","60 km SE of Gilgit, Pakistan","earthquake",4.6,1.8,0.098,"us","us"
"11","2021-12-27T11:34:08.254Z",-21.4466,-173.8105,11.37,5.5,"mww",40,7.741,0.35,"us6000gfli","2022-03-05T23:10:45.040Z","118 km E of ���Ohonua,","earthquake",6.6,4.2,0.063,"us","us"
"12","2021-12-27T00:11:49.024Z",22.7361,143.143,112.74,5.2,"mww",59,9.243,0.62,"us6000gfj3","2022-03-05T23:10:43.040Z","Volcano Islands, Japan region","earthquake",9.7,4.9,0.098,"us","us"
"13","2021-12-26T18:59:02.711Z",35.1923,26.9659,10,5.6,"mww",46,0.388,1.09,"us6000gfhq","2022-03-05T23:10:42.040Z","25 km S of Fry, Greece","earthquake",5.7,1.8,0.056,"us","us"
"14","2021-12-26T15:42:57.107Z",-18.1104,-179.352,639.16,6.1,"mww",33,2.497,0.87,"us6000gfgd","2022-03-05T23:10:42.040Z","141 km E of Levuka, Fiji","earthquake",8.7,2.7,0.046,"us","us"
"15","2021-12-26T15:15:11.703Z",35.1452,26.8939,10,5.1,"mww",48,0.456,0.72,"us6000gffm","2022-03-05T23:10:42.040Z","30 km S of Fry, Greece","earthquake",4.1,1.7,0.062,"us","us"
