"","state","n","id"
"1","Alabama",1117,1
"2","Alaska",190,2
"3","Arizona",199,4
"4","Arkansas",67,5
"5","California",408,6
"6","Colorado",150,8
"7","Connecticut",41,9
"8","Delaware",9,10
"9","District of Columbia",2,11
"10","Florida",12,12
"11","Georgia",328,13
"12","Idaho",90,16
"13","Illinois",5,17
"14","Indiana",292,18
"15","Iowa",7,19
"16","Kentucky",9,21
"17","Maine",20,23
"18","Maryland",324,24
"19","Massachusetts",84,25
"20","Michigan",1082,26
"21","Minnesota",1170,27
"22","Mississippi",400,28
"23","Missouri",1364,29
"24","Montana",172,30
"25","Nevada",215,32
"26","New Hampshire",12,33
"27","New Jersey",504,34
"28","New Mexico",284,35
"29","New York",407,36
"30","North Carolina",238,37
"31","Ohio",36,39
"32","Oregon",107,41
"33","Pennsylvania",848,42
"34","Rhode Island",4,44
"35","South Carolina",111,45
"36","South Dakota",26,46
"37","Tennessee",557,47
"38","Texas",98,48
"39","Utah",336,49
"40","Vermont",70,50
"41","Virginia",731,51
"42","Washington",212,53
"43","West Virginia",126,54
"44","Wisconsin",45,55
"45","Wyoming",122,56
