"","state","commod1","n"
"1","Alabama","Aluminum",439
"2","Alabama","Arsenic",9
"3","Alabama","Bismuth",1
"4","Alabama","Cobalt",2
"5","Alabama","Copper",12
"6","Alabama","Gold",263
"7","Alabama","Iron",1117
"8","Alabama","Lead",8
"9","Alabama","Manganese",66
"10","Alabama","Metal",1
"11","Alabama","Molybdenum",2
"12","Alabama","Nickel",1
"13","Alabama","Silica",19
"14","Alabama","Sulfur-Pyrite",2
"15","Alabama","Tantalum",1
"16","Alabama","Tin",10
"17","Alabama","Titanium",8
"18","Alabama","Zinc",31
"19","Alaska","Aluminum",2
"20","Alaska","Antimony",251
"21","Alaska","Arsenic",17
"22","Alaska","Beryllium",3
"23","Alaska","Bismuth",27
"24","Alaska","Cadmium",2
"25","Alaska","Chromium",186
"26","Alaska","Cobalt",28
"27","Alaska","Copper",2195
"28","Alaska","Gold",6702
"29","Alaska","Iron",190
"30","Alaska","Lead",674
"31","Alaska","Magnesite",4
"32","Alaska","Manganese",29
"33","Alaska","Mercury",120
"34","Alaska","Metal",5
"35","Alaska","Molybdenum",263
"36","Alaska","Nickel",96
"37","Alaska","Niobium (Columbium)",7
"38","Alaska","Palladium",4
"39","Alaska","PGE",37
"40","Alaska","Platinum",24
"41","Alaska","REE",45
"42","Alaska","Rhenium",9
"43","Alaska","Silica",3
"44","Alaska","Silver",815
"45","Alaska","Sulfur-Pyrite",1
"46","Alaska","Tailings",1
"47","Alaska","Tantalum",2
"48","Alaska","Tellurium",2
"49","Alaska","Thorium",32
"50","Alaska","Tin",222
"51","Alaska","Titanium",53
"52","Alaska","Tungsten",382
"53","Alaska","Uranium",200
"54","Alaska","Vanadium",6
"55","Alaska","Zinc",524
"56","Alaska","Zirconium",2
"57","Arizona","Aluminum",11
"58","Arizona","Antimony",7
"59","Arizona","Arsenic",4
"60","Arizona","Beryllium",22
"61","Arizona","Coal",1
"62","Arizona","Cobalt",2
"63","Arizona","Copper",2855
"64","Arizona","Copper Oxide",5
"65","Arizona","Copper Sulfide",6
"66","Arizona","Gold",3042
"67","Arizona","Iron",199
"68","Arizona","Lead",1392
"69","Arizona","Lithium",5
"70","Arizona","Magnesite",8
"71","Arizona","Manganese",429
"72","Arizona","Mercury",52
"73","Arizona","Metal",3
"74","Arizona","Molybdenum",111
"75","Arizona","Nickel",3
"76","Arizona","Niobium (Columbium)",6
"77","Arizona","PGE",2
"78","Arizona","Platinum",2
"79","Arizona","REE",6
"80","Arizona","Refinery",2
"81","Arizona","Selenium",1
"82","Arizona","Silica",111
"83","Arizona","Silver",2642
"84","Arizona","Sulfur-Pyrite",6
"85","Arizona","Tantalum",5
"86","Arizona","Thorium",5
"87","Arizona","Tin",3
"88","Arizona","Titanium",8
"89","Arizona","Tungsten",387
"90","Arizona","Uranium",551
"91","Arizona","Vanadium",203
"92","Arizona","Zinc",490
"93","Arkansas","Aluminum",116
"94","Arkansas","Antimony",5
"95","Arkansas","Copper",7
"96","Arkansas","Iron",67
"97","Arkansas","Lead",205
"98","Arkansas","Magnesium Compounds",1
"99","Arkansas","Manganese",138
"100","Arkansas","Mercury",55
"101","Arkansas","Metal",3
"102","Arkansas","Molybdenum",3
"103","Arkansas","Niobium (Columbium)",8
"104","Arkansas","Ruthenium",1
"105","Arkansas","Silica",52
"106","Arkansas","Silver",2
"107","Arkansas","Titanium",13
"108","Arkansas","Tripoli",1
"109","Arkansas","Tungsten",1
"110","Arkansas","Vanadium",7
"111","Arkansas","Zinc",223
"112","California","Aluminum",12
"113","California","Antimony",103
