"","site_name","latitude","longitude","region","country","county","com_type","commod1","commod2","commod3","oper_type","dep_type","prod_size","dev_stat","ore","gangue","work_type","names","ore_ctrl","hrock_type","arock_type"
"1","Monroe (Lane's Mine)",41.36699,-73.19954,NA,"United States","Fairfield","M","Silver","","","Unknown","Quartz Vein","N","Occurrence","Silver, Bismuth, Arsenopyrite, Galena, Sphalerite, Marcasite, Scheelite, Tungstite, Wolframite","","","Monroe Lane's Mine","","",""
"2","Monroe (Lane's Mine)",41.36699,-73.19954,NA,"United States","Fairfield","M","Bismuth","","","Unknown","Quartz Vein","N","Occurrence","Silver, Bismuth, Arsenopyrite, Galena, Sphalerite, Marcasite, Scheelite, Tungstite, Wolframite","","","Monroe Lane's Mine","","",""
"3","Monroe (Lane's Mine)",41.36699,-73.19954,NA,"United States","Fairfield","M","Tungsten","","","Unknown","Quartz Vein","N","Occurrence","Silver, Bismuth, Arsenopyrite, Galena, Sphalerite, Marcasite, Scheelite, Tungstite, Wolframite","","","Monroe Lane's Mine","","",""
"4","Flatrock Quarry",41.37699,-72.1475,NA,"United States","New London","M","Niobium (Columbium)","","","Unknown","","N","Occurrence","Monazite, Eschynite","","","","","",""
"5","Flatrock Quarry",41.37699,-72.1475,NA,"United States","New London","M","REE","","","Unknown","","N","Occurrence","Monazite, Eschynite","","","","","",""
"6","Scoville Limonite Mine",42.01805,-73.44065,NA,"United States","Litchfield","M","Iron","","","Unknown","","Y","Past Producer","Limonite","","","","Probably Mass Weathering Of Iron Rich Carbonate And Schist Beds","",""
"7","Scoville Limonite Mine",42.01805,-73.44065,NA,"United States","Litchfield","M","Manganese","","","Unknown","","Y","Past Producer","Limonite","","","","Probably Mass Weathering Of Iron Rich Carbonate And Schist Beds","",""
"8","Camp Limonite Mine",42.03777,-73.43176,NA,"United States","Litchfield","M","Iron","","","Unknown","","Y","Past Producer","Goethite, Limonite","","Unknown","","Probably Mass Weathering Of Iron Rich Dolomite Beds","",""
"9","Camp Limonite Mine",42.03777,-73.43176,NA,"United States","Litchfield","M","Manganese","","","Unknown","","Y","Past Producer","Goethite, Limonite","","Unknown","","Probably Mass Weathering Of Iron Rich Dolomite Beds","",""
"10","Clarke Limonite Mine",41.99305,-73.43371,NA,"United States","Litchfield","M","Iron","","","Unknown","","Y","Past Producer","Limonite","","","","Probably Mass Weathering Of Iron Rich Carbonate Beds And Schist Layers","",""
"11","Porter Limonite Mine",41.96916,-73.44343,NA,"United States","Litchfield","M","Iron","","","Unknown","","Y","Past Producer","Limonite","","","","Probably Mass Weathering Of Iron-Rich Carbonate And Schist Beds","",""
"12","Chatfield Limonite Mine",41.95138,-73.46621,NA,"United States","Litchfield","M","Iron","","","Unknown","","Y","Past Producer","Limonite","","","","Probably Mass Weathering Iron - Rich Limestone Beds And Schist Beds","",""
"13","Chatfield Limonite Mine",41.95138,-73.46621,NA,"United States","Litchfield","M","Manganese","","","Unknown","","Y","Past Producer","Limonite","","","","Probably Mass Weathering Iron - Rich Limestone Beds And Schist Beds","",""
"14","Indian Limonite Mine",41.92193,-73.49454,NA,"United States","Litchfield","M","Iron","","","Unknown","","S","Past Producer","Limonite","","","","Mass Weathering Iron Rich Carbonate And Schist Beds","Schist,Dolomite",""
"15","Indian Limonite Mine",41.92193,-73.49454,NA,"United States","Litchfield","M","Manganese","","","Unknown","","S","Past Producer","Limonite","","","","Mass Weathering Iron Rich Carbonate And Schist Beds","Schist,Dolomite",""
"16","Roxbury Iron Mine",41.56799,-73.33854,NA,"United States","Litchfield","M","Iron","Copper, Silver, Lead","","Unknown","Vein Quartz In Fault Zone","Y","Past Producer","Arsenopyrite, Galena, Chalcopyrite, Pyrite, Sphalerite, Siderite","Quartz","","","","Gneiss","Granite"
"17","Copper Prospect No. Dj-012",41.54299,-72.88353,NA,"United States","New Haven","M","Copper","","","Unknown","Void Fill And Replacement","N","Occurrence","Marcasite, Pentlandite, Chalcopyrite, Pyrrhotite, Pyrite","","","","","Arkose","Diabase"
"18","No Name Given",41.56666,-72.54952,NA,"United States","Middlesex","M","Nickel","","Cobalt","Unknown","","Y","Past Producer","Niccolite","","","","","Slate",""
"19","Pyrite Occurrence No. Fj-022",41.64693,-73.31732,NA,"United States","Litchfield","M","Sulfur-Pyrite","","","Unknown","","N","Occurrence","Pyrite","Quartz","","","Metamorphosed Carbonaceous Quartzite Bed.","","Mafic Intrusive Rock"
