"","site_name","latitude","longitude","region","country","county","com_type","commod1","commod2","commod3","oper_type","dep_type","prod_size","dev_stat","ore","gangue","work_type","names","ore_ctrl","hrock_type","arock_type"
"1","Elliot Farm Prospect",38.48393,-75.58403,NA,"United States","Sussex","M","Iron","","","Surface","","","Prospect","","","","","","",""
"2","Chestnut Hill Mine",39.65282,-75.77153,NA,"United States","New Castle","M","Iron","","","Surface","","","Past Producer","","","","","","",""
"3","Iron Hill Mine",39.64082,-75.75543,NA,"United States","New Castle","M","Iron","","","Surface","","","Past Producer","","","","Chesnut Hill Mine","","",""
"4","Collins Mine and Plant",38.73473,-75.48153,NA,"United States","Sussex","M","Iron","","","Surface","","","Past Producer","","","","","","",""
"5","Mine Hill Mine",38.47753,-75.58573,NA,"United States","Sussex","M","Iron","","","Surface","","","Past Producer","","","","","","",""
"6","Gravelly Delight Mine",38.67313,-75.55573,NA,"United States","Sussex","M","Iron","","","Surface","","","Past Producer","","","","","","",""
"7","Deep Creek Mine",38.67693,-75.48793,NA,"United States","Sussex","M","Iron","","","Surface","","","Past Producer","","","","","","",""
"8","American Minerals/ Wilmington, De.",39.75002,-75.55542,NA,"United States","New Castle","M","Chromium","","","Processing Plant","","","Past Producer","","","","","","",""
"9","Wilmington Plant Dupont",39.75002,-75.55542,NA,"United States","New Castle","M","Titanium","","","Processing Plant","","","Plant","","","","","","",""
"10","New Castle Plant C-E Minerals",39.66082,-75.56653,NA,"United States","New Castle","M","Aluminum","","","Processing Plant","","","Plant","","","","Div Combustion Eng","","",""
"11","Edgemoor Plant  Ti",39.7469,-75.5,NA,"United States","New Castle","M","Titanium","","","Processing Plant","","","Plant","","","","","","",""
"12","Edgemoor Plant  Ti",39.7469,-75.5,NA,"United States","New Castle","M","Pigment","","","Processing Plant","","","Plant","","","","","","",""
"13","Phoenix Steel/ Claymont, De.",39.80752,-75.44292,NA,"United States","New Castle","M","Iron","","","Processing Plant","","","Plant","","","","","","",""
"14","Pine Creek Forge Mine",38.65533,-75.52573,NA,"United States","Sussex","M","Iron","","","Surface","","","Past Producer","","","","","","",""
"15","Barcroft",38.78313,-75.16072,NA,"United States","Sussex","M","Magnesite","","","Processing Plant","","","Producer","","","Water","Barcroft Seawater Operation","","",""
