"","site_name","latitude","longitude","region","country","county","com_type","commod1","commod2","commod3","oper_type","dep_type","prod_size","dev_stat","ore","gangue","work_type","names","ore_ctrl","hrock_type","arock_type"
"1","Humphreys Mining Co. - Boulogne Mine",30.73408,-81.98429,NA,"United States","Nassau","M","Titanium-Heavy Minerals","","","Unknown","","Y","Past Producer","Ilmenite, Rutile, Monazite, Zircon","","","Boulogne Mine","","",""
"2","Highland Mine",30.13078,-81.74845,NA,"United States","Clay","M","Titanium-Heavy Minerals","","","Unknown","","Y","Producer","Leucoxene, Zircon, Kyanite, Rutile","","","","","",""
"3","Vero Beach Placer",27.63357,-80.38311,NA,"United States","Indian River","M","Titanium-Heavy Minerals","","","Unknown","","S","Producer","Kyanite, Zircon, Rutile, Leucoxene, Ilmenite","","","","","Sand and Gravel",""
"4","Panama City-Phillips Inlet Placer",30.26696,-85.99996,NA,"United States","Bay","M","Titanium-Heavy Minerals","Zirconium","","Unknown","","U","Occurrence","Staurolite, Kyanite, Zircon, Rutile, Leucoxene, Ilmenite","","","","","Sand and Gravel",""
"5","Jacksonville Placer",30.30023,-81.54984,NA,"United States","Duval","M","Titanium-Heavy Minerals","","","Unknown","","M","Producer","Rutile, Zircon, Ilmenite","","","","","Sand and Gravel",""
"6","Pensacola Bay  Placer",30.40023,-87.01673,NA,"United States","Santa Rosa","M","Titanium-Heavy Minerals","","","Unknown","","U","Occurrence","Rutile, Zircon, Ilmenite","","","","","Sand and Gravel",""
"7","Melbourne-Palm Bay Placer",28.069,-80.61851,NA,"United States","Brevard","M","Titanium-Heavy Minerals","","","Unknown","","S","Producer","Staurolite, Kyanite, Zircon, Rutile, Leucoxene, Ilmenite","","","","","Sand and Gravel",""
"8","Amelia Island  Placer",30.61695,-81.44983,NA,"United States","Nassau","M","Titanium-Heavy Minerals","","","Unknown","","N","Occurrence","Monazite, Zircon, Rutile, Ilmenite","","","","","Sand and Gravel",""
"9","Mineral City Placer, Pontra Vedra",30.23356,-81.38316,NA,"United States","St. Johns","M","Titanium-Heavy Minerals","","","Unknown","","S","Producer","Zircon, Kyanite, Rutile, Ilmenite","","","Mineral City Placer","","Sand and Gravel",""
"10","Airport Mine",27.44202,-80.33041,NA,"United States","St. Lucie","M","Silica","","","Surface","","","Producer","","","","","","",""
"11","Nettles Prospect",29.69775,-82.75927,NA,"United States","Gilchrist","M","Iron","","","Unknown","","","Prospect","","","","","","",""
