"","site_name","latitude","longitude","region","country","county","com_type","commod1","commod2","commod3","oper_type","dep_type","prod_size","dev_stat","ore","gangue","work_type","names","ore_ctrl","hrock_type","arock_type"
"1","Hatfield and Clayton Prospects",43.43639,-91.40376,NA,"United States","Allamakee","M","Lead","","","Unknown","","N","Occurrence","Galena","","","","","Dolomite",""
"2","Lansing Or Captain Turner's Mine",43.40778,-91.30292,NA,"United States","Allamakee","M","Lead","","","Unknown","","Y","Past Producer","Galena, Hemimorphite, Smithsonite","","","","","Sandstone,Dolomite",""
"3","Mineral Creek Mines",43.38861,-91.50376,NA,"United States","Allamakee","M","Lead","","","Unknown","","Y","Past Producer","Galena, Smithsonite","","","","","Dolomite",""
"4","Sny Magill Mines",42.94944,-91.18514,NA,"United States","Clayton","M","Lead","","","Unknown","","Y","Past Producer","Galena","","","Clayton","","Dolomite",""
"5","Dyersville Diggings",42.43418,-91.12181,NA,"United States","Delaware, Dubuque","M","Lead","","","Unknown","","Y","Past Producer","Galena","","","","","Dolomite",""
"6","Prospect",42.3039,-90.8104,NA,"United States","Dubuque","M","Lead","","","Unknown","","N","Occurrence","Galena","","","","","Dolomite",""
"7","Anamosa Mines",42.0839,-91.26153,NA,"United States","Jones","M","Lead","","","Unknown","","Y","Past Producer","Galena, Sphalerite","","","","","Dolomite",""
"8","Martin Marietta Quarry",41.91334,-91.52237,NA,"United States","Linn","M","Iron","","","Unknown","","S","Past Producer","Pyrite, Sphalerite","","","","","Dolomite",""
"9","Beadle Mine, Dubuque and L Superior Mine",42.47029,-90.72234,NA,"United States","Dubuque","M","Lead","","","Unknown","","Y","Past Producer","Galena, Sphalerite","","","Dubuque and Lake Superior Mine","","Dolomite",""
"10","Zwingle Mines and Occurrences",42.29584,-90.68956,NA,"United States","Jackson, Dubuque","M","Lead","","","Unknown","","Y","Past Producer","Galena, Sphalerite","","","","","Dolomite",""
"11","Lytle Creek Diggings",42.27001,-90.78679,NA,"United States","Jackson","M","Lead","","","Unknown","","N","Occurrence","Galena","","","","","Dolomite",""
"12","Gillespie Farm Diggings",42.20168,-90.87013,NA,"United States","Jackson","M","Lead","","","Unknown","","Y","Past Producer","Galena","","","","","Dolomite",""
"13","Main Baldwin Diggings",42.0789,-90.84096,NA,"United States","Jackson","M","Lead","","","Unknown","","Y","Past Producer","Galena","","","","","Dolomite",""
"14","Indian Mines",42.0664,-90.36289,NA,"United States","Jackson","M","Lead","","","Unknown","","Y","Past Producer","Galena","","","","","Dolomite",""
"15","Prospects Near Lansing",43.36333,-91.22264,NA,"United States","Allamakee","M","Lead","","","Unknown","","N","Occurrence","Galena","","","","","Dolomite",""
"16","Quarry",42.93833,-91.17847,NA,"United States","Clayton","M","Lead","","","Unknown","","S","Past Producer","Galena","","","","","Dolomite",""
"17","Occurrence",42.79112,-91.20958,NA,"United States","Clayton","M","Lead","","","Unknown","","S","Past Producer","Galena","","","","","Dolomite",""
"18","Spellman Farm",42.7539,-91.36181,NA,"United States","Clayton","M","Lead","","","Unknown","","N","Occurrence","Galena","","","","","Dolomite",""
"19","Occurrence",42.1364,-90.97596,NA,"United States","Jones","M","Lead","","","Unknown","","N","Occurrence","Galena","","","","","Dolomite",""
"20","Unnamed Occurrence",43.26944,-91.41182,NA,"United States","Allamakee","M","Iron","","","Unknown","","S","Past Producer","Hematite, Limonite","","","","","Clay, Mud",""
"21","Bonson Mine",42.5514,-90.76901,NA,"United States","Dubuque","M","Lead","","","Unknown","","Y","Past Producer","Galena, Limonite, Sphalerite","","","","","Dolomite",""
"22","Bonson Mine",42.5514,-90.76901,NA,"United States","Dubuque","M","Iron","","","Unknown","","Y","Past Producer","Galena, Limonite, Sphalerite","","","","","Dolomite",""
"23","Levens Mine North Langworthy Mine",42.51307,-90.71262,NA,"United States","Dubuque","M","Lead","","","Unknown","","Y","Past Producer","Galena, Sphalerite","","","North Langworthy Mine","","Dolomite",""
"24","Stewart and Bartlett Mine",42.52501,-90.7054,NA,"United States","Dubuque","M","Lead","","","Unknown","","Y","Past Producer","Galena","","","","","Dolomite",""
"25","Level Mine",42.50862,-90.70456,NA,"United States","Dubuque","M","Lead","","","Unknown","","Y","Past Producer","Galena","","","","","Dolomite",""
