"","site_name","latitude","longitude","region","country","county","com_type","commod1","commod2","commod3","oper_type","dep_type","prod_size","dev_stat","ore","gangue","work_type","names","ore_ctrl","hrock_type","arock_type"
"1","Clover Creek Iron Tract",38.18086,-83.69769,NA,"United States","Bath","M","Iron","","","Unknown","","","Prospect","","","","Rose Run Iron Area","","",""
"2","Bolt's Fork Deposit",38.24925,-82.74986,NA,"United States","Boyd","M","Iron","","","Unknown","","","Prospect","","","","","","",""
"3","Rose Prospect",37.54287,-84.0432,NA,"United States","Jackson","M","Lead","","Platinum, Zinc","Unknown","","","Prospect","","","","","","",""
"4","Horton-South Iron Tract",38.13006,-83.69299,NA,"United States","Bath","M","Iron","","","Unknown","","","Prospect","","","","Rose Run Iron Area","","",""
"5","Armco Steel/ Ashland, Ky.",38.46175,-82.62486,NA,"United States","Boyd","M","Iron","","","Processing Plant","","","Unknown","","","","","","",""
"6","Indian Creek Iron Track",38.16086,-83.65879,NA,"United States","Bath","M","Iron","","","Unknown","","","Prospect","","","","Rose Run Iron Area","","",""
"7","Rose Run Iron Tract",38.14066,-83.68549,NA,"United States","Bath","M","Iron","","","Unknown","","","Prospect","","","","Rose Run Iron Area","","",""
"8","Globe Union/ Louisville, Ky.",38.25006,-85.74996,NA,"United States","Jefferson","M","Lead","","","Processing Plant","","","Unknown","","","","","","",""
"9","L.Z.Bond Deposit",38.04086,-84.87573,NA,"United States","Anderson","M","Lead","","Zinc","Unknown","","","Occurrence","","","","","","",""
"10","Horton-North Iron Tract",38.13116,-83.69299,NA,"United States","Bath","M","Iron","","","Unknown","","","Prospect","","","","Rose Run Iron Area","","",""
"11","J.W.Ingram Deposit",38.01286,-83.69569,NA,"United States","Bath","M","Iron","","","Unknown","","","Occurrence","","","","","","",""
"12","Tenn Forging Steel/ Calvert City Ky",37.02008,-88.34444,NA,"United States","Marshall","M","Iron","","","Processing Plant","","","Past Producer","","","","","","",""
