"","site_name","latitude","longitude","region","country","county","com_type","commod1","commod2","commod3","oper_type","dep_type","prod_size","dev_stat","ore","gangue","work_type","names","ore_ctrl","hrock_type","arock_type"
"1","Smith #3 Mine",46.70556,-103.32838,NA,"United States","Billings","M","Uranium","","Lignite","Surface","","","Past Producer","","","","","","",""
"2","Geary Lease",46.69996,-103.32838,NA,"United States","Billings","M","Uranium","","","Surface","","","Past Producer","","","","","","",""
"3","Northern Pacific No 1",47.03056,-103.03998,NA,"United States","Billings","M","Uranium","","","Surface","","","Past Producer","","","","","","",""
"4","Smith #1 Mine",46.70936,-103.33948,NA,"United States","Billings","M","Uranium","","","Surface","","","Prospect","","","","","","",""
"5","Baranko",46.06668,-96.89675,NA,"United States","Billings","M","Uranium","","","Surface","","","Past Producer","","","","","","",""
"6","Luptak No. 1",46.97166,-103.22138,NA,"United States","Stark","M","Uranium","","","Surface","","","Past Producer","","","","","","",""
"7","Geary #1 Prospect",46.68326,-103.31998,NA,"United States","Billings","M","Uranium","","","Surface","","","Occurrence","","","","","","",""
"8","Klym",47.08886,-103.19168,NA,"United States","Billings","M","Uranium","","","Surface","","","Past Producer","","","","","","",""
"9","Kiyote Claims Uranium Occurrence",46.33326,-103.48119,NA,"United States","Billings","M","Uranium","","","Surface","","","Occurrence","","","","","","",""
"10","Unnamed",46.70826,-103.26168,NA,"United States","Billings","M","Uranium","","","Surface","","","Past Producer","","","","","","",""
"11","Talkington",47.03056,-103.33999,NA,"United States","Billings","M","Uranium","","","Surface","","","Past Producer","","","","","","",""
"12","Sec. 2-137n-100w Unknown",46.70826,-103.26168,NA,"United States","Billings","M","Uranium","","","Surface","","","Past Producer","","","","","","",""
"13","Unnamed Prospect",46.69436,-103.28118,NA,"United States","Billings","M","Uranium","","","Surface","","","Prospect","","","","","","",""
"14","Frank",46.96246,-103.22138,NA,"United States","Stark","M","Uranium","","","Surface","","","Past Producer","","","","","","",""
"15","Johnson",46.97136,-103.28449,NA,"United States","Billings","M","Uranium","","","Surface","","","Past Producer","","","","","","",""
"16","Hecker No 1",45.98746,-103.19167,NA,"United States","Billings","M","Uranium","","","Surface","","","Past Producer","","","","","","",""
"17","Hecker No. 2",46.97166,-103.22138,NA,"United States","Stark","M","Uranium","","","Surface","","","Past Producer","","","","","","",""
"18","Hurick No. 1",46.62076,-103.26998,NA,"United States","Slope","M","Uranium","","","Surface","","","Past Producer","","","","","","",""
"19","Uraniferous Lignite Pit",46.70576,-103.35729,NA,"United States","Slope","M","Uranium","","Lignite","Surface","","","Past Producer","","","","","","",""
"20","American Lutheran Church Property",46.63606,-103.28558,NA,"United States","Billings","M","Uranium","","","Unknown","","","Prospect","","","","","","",""
"21","North American Uranium",46.62555,-104.03531,NA,"United States","Golden Valley","M","Uranium","","Lignite","Surface","","","Occurrence","","","","","","",""
"22","Church No 1",46.63746,-103.40059,NA,"United States","Billings","M","Uranium","","","Surface","","","Past Producer","","","","","","",""
"23","Dakota Oil Enterprises Occurrence",46.76666,-103.50059,NA,"United States","Billings","M","Uranium","","","Surface","","","Occurrence","","","","","","",""
