"","site_name","latitude","longitude","region","country","county","com_type","commod1","commod2","commod3","oper_type","dep_type","prod_size","dev_stat","ore","gangue","work_type","names","ore_ctrl","hrock_type","arock_type"
"1","River Smelting & Ref./ Cleveland",41.47561,-81.69452,NA,"United States","Cuyahoga","M","Iron","","Tin, Lead","Processing Plant","","","Producer","","","","","","",""
"2","River Smelting & Ref./ Cleveland",41.47561,-81.69452,NA,"United States","Cuyahoga","M","Copper","","Tin, Lead","Processing Plant","","","Producer","","","","","","",""
"3","Ferro Corp Ottawa Chemical Div",41.68331,-83.54158,NA,"United States","Lucas","M","Iron","","","Processing Plant","","","Producer","","","","","","",""
"4","Armco Inc/ Middletown, Ohio",39.50864,-84.37131,NA,"United States","Butler","M","Iron","","","Processing Plant","","","Unknown","","","","","","",""
"5","Copperweld Corp/ Warren, Ohio",41.24421,-80.80559,NA,"United States","Trumbull","M","Iron","","","Processing Plant","","","Producer","","","","","","",""
"6","Lorain Plant - Marathon Steel",41.46281,-82.17153,NA,"United States","Lorain","M","Iron","","","Processing Plant","","","Producer","","","","","","",""
"7","(Facility) Steubenville Smelter",40.36922,-80.63039,NA,"United States","Jefferson","M","Iron","","","Processing Plant","","","Plant","","","","Satralloy Inc/ Steubenville, Ohio","","",""
"8","Wheeling-Pgh/ Mingo Junction, Ohio",40.31332,-80.60809,NA,"United States","Jefferson","M","Iron","","","Processing Plant","","","Producer","","","","","","",""
"9","Republic Steel/ Niles, Ohio",41.20111,-80.74979,NA,"United States","Trumbull","M","Iron","","","Processing Plant","","","Producer","","","","Niles Steel Plant","","",""
"10","Metallurgical Inc/ Cleveland, Ohio",41.47561,-81.69452,NA,"United States","Cuyahoga","M","Iron","","Aluminum","Processing Plant","","","Unknown","","","","","","",""
"11","Ohio Ferro-Alloys/ Philco, Ohio",39.86063,-81.90873,NA,"United States","Muskingum","M","Iron","","","Processing Plant","","","Producer","","","","","","",""
"12","George Meuhlhooffer Prospect",40.39472,-81.60292,NA,"United States","Tuscarawas","M","Iron","","","Unknown","","","Occurrence","","","","","","",""
"13","Jones & Laughlin/ Louisville, Ohio",41.83921,-81.2687,NA,"United States","Stark","M","Iron","","","Processing Plant","","","Producer","","","","Jones & Laughlin Steel Corp","","",""
"14","E J Heston Prospect",40.31692,-81.56452,NA,"United States","Tuscarawas","M","Iron","","","Unknown","","","Occurrence","","","","","","",""
"15","Jones & Laughlin Steel/ Cleveland",41.47561,-81.69452,NA,"United States","Cuyahoga","M","Iron","","","Processing Plant","","","Unknown","","","","","","",""
"16","Union Carbide/ Marietta, Ohio",39.41944,-81.44842,NA,"United States","Washington","M","Iron","","Manganese","Processing Plant","","","Producer","","","","Metals Div","","",""
"17","Interlake Inc/ Toledo, Ohio",41.66941,-83.56798,NA,"United States","Lucas","M","Iron","","","Processing Plant","","","Producer","","","","","","",""
"18","Jessie Simmon Prospect",40.40612,-81.52952,NA,"United States","Tuscarawas","M","Iron","","","Unknown","","","Occurrence","","","","","","",""
"19","I J Smith Prospect",40.54442,-81.0345,NA,"United States","Carroll","M","Iron","","","Unknown","","","Occurrence","","","","","","",""
"20","Ohio Ferro-Alloys/ Canton, Ohio",40.81032,-81.38621,NA,"United States","Stark","M","Iron","","","Processing Plant","","","Producer","","","","","","",""
"21","N. L. Industries",41.47561,-81.69452,NA,"United States","Cuyahoga","M","Lead","","","Processing Plant","","","Unknown","","","","","","",""
"22","Walter Harmon Prospect",40.39312,-81.54062,NA,"United States","Tuscarawas","M","Iron","","","Unknown","","","Occurrence","","","","","","",""
"23","Armco Inc/ Hamilton, Ohio",39.40814,-84.56602,NA,"United States","Butler","M","Iron","","","Processing Plant","","","Unknown","","","","","","",""
"24","Playford Bliss Prospect",40.24193,-81.54732,NA,"United States","Tuscarawas","M","Iron","","","Unknown","","","Occurrence","","","","","","",""
"25","Sharon Steel/ Hubbard, Ohio",41.15811,-80.56788,NA,"United States","Trumbull","M","Iron","","","Processing Plant","","","Producer","","","","","","",""
"26","Armco Inc/ Zanesville, Ohio",39.94533,-82.01093,NA,"United States","Muskingum","M","Iron","","","Processing Plant","","","Producer","","","","","","",""
"27","Thomas Strip Steel/ Warren, Ohio",41.24421,-80.80559,NA,"United States","Trumbull","M","Iron","","","Processing Plant","","","Producer","","","","","","",""
"28","Lorain Plant - U.S. Steel",41.46281,-82.17153,NA,"United States","Lorain","M","Iron","","","Processing Plant","","","Producer","","","","Lorain-Cuyahoga Works","","",""
"29","Cyclops Corp/ New Boston, Ohio",38.75865,-82.93296,NA,"United States","Scioto","M","Iron","","","Processing Plant","","","Producer","","","","","","",""
"30","Republic Steel/ Massillon, Ohio",40.79612,-81.51841,NA,"United States","Stark","M","Iron","","","Processing Plant","","","Producer","","","","Union Drawn Steel Co Div","","",""
"31","Toledo Pickling & Steel Service Inc",41.68331,-83.54158,NA,"United States","Lucas","M","Iron","","","Processing Plant","","","Producer","","","","","","",""
"32","Us Steel/ Youngstown, Ohio",41.09192,-80.65508,NA,"United States","Mahoning","M","Iron","","","Processing Plant","","","Producer","","","","Youngstown Works","","",""
"33","Us Steel Corp/ Cleveland, Ohio",41.47561,-81.69452,NA,"United States","Cuyahoga","M","Iron","","","Processing Plant","","","Unknown","","","","","","",""
"34","Wheeling-Pgh/ Martins Ferry, Ohio",40.10063,-80.72199,NA,"United States","Belmont","M","Iron","","","Processing Plant","","","Unknown","","","","","","",""
"35","Indiana Briquetting/ Defiance, Ohio",41.28442,-84.35211,NA,"United States","Defiance","M","Iron","","","Processing Plant","","","Unknown","","","","","","",""
"36","Empire Steel-Cyclops Div/ Mansfield",40.75862,-82.52625,NA,"United States","Richland","M","Iron","","","Processing Plant","","","Producer","","","","","","",""
"37","Wheeling-Pittsburgh/ Steubenville",40.36922,-80.63039,NA,"United States","Jefferson","M","Iron","","","Processing Plant","","","Producer","","","","","","",""
"38","Union Carbide",41.87941,-80.78729,NA,"United States","Ashtabula","M","Iron","","","Processing Plant","","","Producer","","","","Metals Div","","",""
