"","site_name","latitude","longitude","region","country","county","com_type","commod1","commod2","commod3","oper_type","dep_type","prod_size","dev_stat","ore","gangue","work_type","names","ore_ctrl","hrock_type","arock_type"
"1","Iron Mine Hill Deposit",41.99999,-71.46615,NA,"United States","Providence","M","Iron","","Titanium, Metal, Vanadium","Unknown","","Y","Past Producer","","","","","","",""
"2","Copper Hill",41.99999,-71.44948,NA,"United States","Providence","M","Molybdenum","","","Unknown","","N","Occurrence","Chalcopyrite, Molybdenite, Scheelite","","","","","Schist",""
"3","Block Island Placer",41.19999,-71.54949,NA,"United States","Newport","M","Titanium","","","Unknown","","N","Occurrence","","","","","","Sand and Gravel",""
"4","Block Island Placer",41.19999,-71.54949,NA,"United States","Newport","M","Metal","","","Unknown","","N","Occurrence","","","","","","Sand and Gravel",""
"5","Block Island Placer",41.19999,-71.54949,NA,"United States","Newport","M","Iron","","","Unknown","","N","Occurrence","","","","","","Sand and Gravel",""
"6","Iron Mine Hill Deposit",41.99999,-71.46615,NA,"United States","Providence","M","Iron","Copper","","Unknown","","M","Past Producer","Magnetite","","","","","",""
"7","Iron Mine Hill",42.00498,-71.45778,NA,"United States","Providence","M","Iron","","","Surface","","","Prospect","","","","","","",""
"8","Iron Mine Hill",42.00498,-71.45778,NA,"United States","Providence","M","Titanium","","","Surface","","","Prospect","","","","","","",""
"9","Foster Prospect",42.00418,-71.42588,NA,"United States","Providence","M","Arsenic","","Uranium, Thorium, REE","Unknown","","","Prospect","","","","Foster Uranium ProspectFoster","","",""
"10","Durfee Hill Gold Mine",41.88498,-71.74229,NA,"United States","Providence","M","Gold","","Molybdenum","Underground","","","Past Producer","","","","","","",""
"11","Block Island Prospect",41.19999,-71.54949,NA,"United States","Newport","M","Titanium","","Iron","Unknown","","","Prospect","","","","","","",""
"12","Sneech Pond Prospect",41.97858,-71.42808,NA,"United States","Providence","M","Manganese","","","Unknown","","","Prospect","","","","","","",""
"13","Durfee Hill Mine",41.89168,-71.74119,NA,"United States","Providence","M","Gold","","Silver","Underground","","","Past Producer","","","","","","",""
