"","Metal","Number Of Deposits"
"1","Aluminum, Gold",1
"2","Aluminum, Uranium",1
"3","Antimony, Arsenic, Copper, Lead, Gold, Silver, Fluorine-Fluorite",1
"4","Antimony, Bismuth, Copper",1
"5","Antimony, Chromium",1
"6","Antimony, Copper, Gold, Lead",1
"7","Antimony, Copper, Gold, Silver, Zinc",1
"8","Antimony, Copper, Lead, Silver, Gold",1
"9","Antimony, Copper, Lead, Zinc, Molybdenum",1
"10","Antimony, Copper, Tungsten",1
"11","Antimony, Copper, Zinc",1
"12","Antimony, Gold, Lead, Molybdenum",1
"13","Antimony, Gold, Silver, Zinc, Copper",1
"14","Antimony, Lead, Bismuth, Arsenic, Zinc, Silver",1
"15","Antimony, Lead, Copper, Silver",1
"16","Antimony, Lead, Silver, Copper, Bismuth",1
"17","Antimony, Lead, Zinc, Silver",1
"18","Antimony, Mercury, Gold, Silver",1
"19","Antimony, Mercury, Silver",1
"20","Antimony, Nickel",1
